"Name";"ModId";"Version";"Type";"InternalCategory";"GOC";"FileId";"FileName";"FilePath";"PreviousFileName";"FileDate";"FileLength";"DownloadUrl";"GameVersion";"Dependencies";"Copy";"Add";"Update"
"AdvancementInfo";"403815";"0.58.5-1.3.1";"Mods";"";"True";"3907238";"advancementinfo-1.19.1-fabric0.58.5-1.3.1.jar";"E:\Games\Minecraft\#Setup_Minecraft\1.19.2\Mods\advancementinfo-1.19.1-fabric0.58.5-1.3.1.jar";"";"30/07/2022 09:05:45";"1021589";"https://edge.forgecdn.net/files/3907/238/advancementinfo-1.19.1-fabric0.58.5-1.3.1.jar";"1.19.2";"";"True";"True";"True"
"Advancements Enlarger";"355583";"";"Mods";"";"True";"";"";"";"";"";"";"";"";"";"True";"False";"False"
"AppleSkin";"248787";"2.4.1";"Mods";"";"False";"3927567";"appleskin-fabric-mc1.19-2.4.1.jar";"E:\Games\Minecraft\#Setup_Minecraft\1.19.2\Mods\appleskin-fabric-mc1.19-2.4.1.jar";"";"10/08/2022 07:33:50";"1040951";"https://edge.forgecdn.net/files/3927/567/appleskin-fabric-mc1.19-2.4.1.jar";"1.19.2";"Fabric API(Required Dependency)";"True";"True";"True"
"Architectury API";"419699";"6.2.43";"Mods";"";"True";"3929406";"architectury-6.2.43-fabric.jar";"E:\Games\Minecraft\#Setup_Minecraft\1.19.2\Mods\architectury-6.2.43-fabric.jar";"";"11/08/2022 11:11:05";"562025";"https://edge.forgecdn.net/files/3929/406/architectury-6.2.43-fabric.jar";"1.19.2";"Fabric API(Required Dependency)";"True";"True";"True"
"Atmosfera";"338456";"";"Mods";"";"False";"";"";"";"";"";"";"";"";"";"True";"False";"False"
"Bad Packets";"615134";"0.2.0";"Mods";"";"False";"3903798";"badpackets-fabric-0.2.0.jar";"E:\Games\Minecraft\#Setup_Minecraft\1.19.2\Mods\badpackets-fabric-0.2.0.jar";"";"28/07/2022 09:36:57";"27605";"https://edge.forgecdn.net/files/3903/798/badpackets-fabric-0.2.0.jar";"1.19.2";"";"True";"True";"True"
"Better Birch Leaves Add-on";"514560";"";"Ressources";"";"True";"";"";"";"";"";"";"";"";"";"True";"False";"False"
"Better Dropped Items";"350250";"";"Mods";"";"False";"";"";"";"";"";"";"";"";"";"True";"False";"False"
"Better Spruce Leaves Add-on";"514567";"";"Ressources";"";"True";"";"";"";"";"";"";"";"";"";"True";"False";"False"
"Better Third Person";"435044";"1.8.1";"Mods";"";"True";"3834421";"BetterThirdPerson-Fabric-1.19-1.8.1.jar";"E:\Games\Minecraft\#Setup_Minecraft\1.19.2\Mods\BetterThirdPerson-Fabric-1.19-1.8.1.jar";"";"16/06/2022 11:18:37";"45804";"https://edge.forgecdn.net/files/3834/421/BetterThirdPerson-Fabric-1.19-1.8.1.jar";"1.19.2";"";"True";"True";"True"
"BetterF3";"401648";"1.3.2";"Mods";"";"True";"3884453";"BetterF3-1.3.2-Fabric-1.19.jar";"E:\Games\Minecraft\#Setup_Minecraft\1.19.2\Mods\BetterF3-1.3.2-Fabric-1.19.jar";"";"19/07/2022 08:08:31";"1420841";"https://edge.forgecdn.net/files/3884/453/BetterF3-1.3.2-Fabric-1.19.jar";"1.19.2";"Cloth Config API(Required Dependency)";"True";"True";"True"
"BSL Shaders";"322506";"";"Shaders";"";"True";"";"";"";"";"";"";"";"";"";"True";"False";"False"
"Charm";"318872";"4.2.2";"Mods";"";"False";"3942562";"charm-fabric-1.19.2-4.2.2.jar";"E:\Games\Minecraft\#Setup_Minecraft\1.19.2\Mods\charm-fabric-1.19.2-4.2.2.jar";"";"19/08/2022 21:47:43";"3959634";"https://edge.forgecdn.net/files/3942/562/charm-fabric-1.19.2-4.2.2.jar";"1.19.2";"Fabric API(Required Dependency)";"True";"True";"True"
"Cloth Config API";"348521";"8.0.75";"Mods";"";"True";"3906387";"cloth-config-8.0.75-fabric.jar";"E:\Games\Minecraft\#Setup_Minecraft\1.19.2\Mods\cloth-config-8.0.75-fabric.jar";"";"29/07/2022 18:43:03";"1129049";"https://edge.forgecdn.net/files/3906/387/cloth-config-8.0.75-fabric.jar";"1.19.2";"";"True";"True";"True"
"Complementary Shaders";"385587";"";"Shaders";"";"True";"";"";"";"";"";"";"";"";"";"True";"False";"False"
"Continuity";"531351";"2.0.1";"Mods";"NoOptifine";"True";"3927270";"continuity-2.0.1+1.19.jar";"E:\Games\Minecraft\#Setup_Minecraft\1.19.2\Mods\NoOptifine\continuity-2.0.1+1.19.jar";"";"10/08/2022 01:00:37";"1128730";"https://edge.forgecdn.net/files/3927/270/continuity-2.0.1+1.19.jar";"1.19.2";"Fabric API(Required Dependency)/Fabric API(Required Dependency)";"True";"True";"True"
"CraftPresence";"297038";"1.19.2";"Mods";"";"False";"3953651";"CraftPresence-1.19.2-Release-1.8.11-universal.jar";"E:\Games\Minecraft\#Setup_Minecraft\1.19.2\Mods\CraftPresence-1.19.2-Release-1.8.11-universal.jar";"";"27/08/2022 03:25:48";"1297460";"https://edge.forgecdn.net/files/3953/651/CraftPresence-1.19.2-Release-1.8.11-universal.jar";"1.19.2";"";"True";"True";"True"
"Dark Loading Screen";"365727";"1.6.12";"Mods";"";"False";"3845449";"dark-loading-screen-1.6.12.jar";"E:\Games\Minecraft\#Setup_Minecraft\1.19.2\Mods\dark-loading-screen-1.6.12.jar";"";"23/06/2022 19:17:18";"52116";"https://edge.forgecdn.net/files/3845/449/dark-loading-screen-1.6.12.jar";"1.19.2";"";"True";"True";"True"
"Diggus Maximus";"341888";"";"Mods";"";"False";"";"";"";"";"";"";"";"";"";"True";"False";"False"
"Dramatic Skys";"231821";"1.5.1";"Ressources";"";"True";"3944098";"Dramatic+Skys+Demo+1.5.1.zip";"E:\Games\Minecraft\#Setup_Minecraft\1.19.2\Ressources\Dramatic+Skys+Demo+1.5.1.zip";"";"20/08/2022 22:18:14";"16856180";"https://edge.forgecdn.net/files/3944/098/Dramatic+Skys+Demo+1.5.1.zip";"1.19.2";"";"True";"True";"True"
