"Name";"ModId";"Version";"Type";"InternalCategory";"GOC";"FileId";"FileName";"FilePath";"PrevisouFileName";"FileDate";"FileLength";"DownloadUrl";"GameVersion";"Dependencies";"Copy";"Add";"Update"
"Inventory Profiles Next";"495267";"1.6.0";"Mods";;"False";"3871731";"InventoryProfilesNext-fabric-1.19-1.6.0.jar";"E:\Games\Minecraft\#Setup_Minecraft\1.19.0\Mods\InventoryProfilesNext-fabric-1.19-1.6.0.jar";;"12/07/2022 09:24:07";"1502787";"https://edge.forgecdn.net/files/3871/731/InventoryProfilesNext-fabric-1.19-1.6.0.jar";"1.19";"Fabric API(Required Dependency)/Fabric Language Kotlin(Required Dependency)";"True";"True";"True"
"Iris Shaders";"455508";"1.2.5";"Mods";"NoOptifine";"True";"3821021";"iris-mc1.19-1.2.5.jar";"E:\Games\Minecraft\#Setup_Minecraft\1.19.0\Mods\NoOptifine\iris-mc1.19-1.2.5.jar";;"07/06/2022 17:44:38";"1561033";"https://edge.forgecdn.net/files/3821/21/iris-mc1.19-1.2.5.jar";"1.19";"Sodium(Required Dependency)";"True";"True";"True"
"Item Scroller";"242064";;"Mods";;"False";;;;;;;;;;"True";;
"Jerm's Better Leaves";"301900";"2.9";"Ressources";;"True";"3841526";"Better Leaves Addon V2.9-1.19.zip";"E:\Games\Minecraft\#Setup_Minecraft\1.19.0\Ressources\Better Leaves Addon V2.9-1.19.zip";;"20/06/2022 18:57:12";"55147";"https://edge.forgecdn.net/files/3841/526/Better Leaves Addon V2.9-1.19.zip";"1.19";;"True";"True";"True"
"LambdaBetterGrass";"400322";"1.3.0";"Mods";"NoOptifine";"True";"3834055";"lambdabettergrass-1.3.0+1.19.jar";"E:\Games\Minecraft\#Setup_Minecraft\1.19.0\Mods\NoOptifine\lambdabettergrass-1.3.0+1.19.jar";;"16/06/2022 01:32:12";"1176944";"https://edge.forgecdn.net/files/3834/55/lambdabettergrass-1.3.0+1.19.jar";"1.19";"Fabric API(Required Dependency)/Mod Menu(Required Dependency)";"True";"True";"True"
"LambDynamicLights";"393442";"2.1.2";"Mods";"NoOptifine";"True";"3824820";"lambdynamiclights-2.1.2+1.19.jar";"E:\Games\Minecraft\#Setup_Minecraft\1.19.0\Mods\NoOptifine\lambdynamiclights-2.1.2+1.19.jar";;"09/06/2022 17:12:18";"556414";"https://edge.forgecdn.net/files/3824/820/lambdynamiclights-2.1.2+1.19.jar";"1.19";"Mod Menu(Required Dependency)/Fabric API(Required Dependency)";"True";"True";"True"
"Light Overlay";"325492";"7.0.0";"Mods";;"True";"3832013";"light-overlay-7.0.0.jar";"E:\Games\Minecraft\#Setup_Minecraft\1.19.0\Mods\light-overlay-7.0.0.jar";;"14/06/2022 14:34:44";"62616";"https://edge.forgecdn.net/files/3832/13/light-overlay-7.0.0.jar";"1.19";"Architectury API(Required Dependency)/Cloth Config API(Required Dependency)";"True";"True";"True"
"Litematica";"308892";;"Mods";;"True";;;;;;;;;;"True";;
"Lithium";"360438";"0.8.1";"Mods";"NoOptifine";"True";"3865696";"lithium-fabric-mc1.19-0.8.1.jar";"E:\Games\Minecraft\#Setup_Minecraft\1.19.0\Mods\NoOptifine\lithium-fabric-mc1.19-0.8.1.jar";;"09/07/2022 16:03:17";"475664";"https://edge.forgecdn.net/files/3865/696/lithium-fabric-mc1.19-0.8.1.jar";"1.19";;"True";"True";"True"
"MaLiLib";"303119";"0.13.0";"Mods";;"True";"3870801";"malilib-fabric-1.19.0-0.13.0.jar";"E:\Games\Minecraft\#Setup_Minecraft\1.19.0\Mods\malilib-fabric-1.19.0-0.13.0.jar";;"11/07/2022 19:30:29";"513315";"https://edge.forgecdn.net/files/3870/801/malilib-fabric-1.19.0-0.13.0.jar";"1.19";;"True";"True";"True"
